rk,year,conf,w,l,t,pct,w,l,t,pct,srs,sos,ap pre,ap high,ap post,cfp high,cfp final,coach(es),bowl,notes
1,2025,SEC,3,8,0,.273,2,6,0,.250,2.78,9.60,15,13,,,,"Billy Napier (3-4), Billy Gonzales (0-4)",,
2,2024,SEC,8,5,0,.615,4,4,0,.500,10.75,6.44,,,,,,Billy Napier (8-5),Union Home Mortgage Gasparilla Bowl (W),
3,2023,SEC,5,7,0,.417,3,5,0,.375,3.31,4.31,,22,,,,Billy Napier (5-7),,
4,2022,SEC,6,7,0,.462,3,5,0,.375,6.92,7.00,,12,,,,Billy Napier (6-7),Las Vegas Bowl (L),
5,2021,SEC,6,7,0,.462,2,6,0,.250,4.37,2.14,13,10,,,,"Dan Mullen (5-6), Greg Knox (1-1)",Union Home Mortgage Gasparilla Bowl (L),
6,2020,SEC,8,4,0,.667,8,2,0,.800,16.85,8.02,8,3,13,6,7,Dan Mullen (8-4),Cotton Bowl (L),
7,2019,SEC,11,2,0,.846,6,2,0,.750,15.22,2.91,8,6,6,9,9,Dan Mullen (11-2),Orange Bowl (W),
8,2018,SEC,10,3,0,.769,5,3,0,.625,13.66,4.04,,7,7,9,10,Dan Mullen (10-3),Peach Bowl (W),
9,2017,SEC,4,7,0,.364,3,5,0,.375,0.83,5.37,17,17,,,,"Jim McElwain (3-4), Randy Shannon (1-3)",,
10,2016,SEC,9,4,0,.692,6,2,0,.750,10.98,4.75,25,10,14,11,17,Jim McElwain (9-4),Outback Bowl (W),
11,2015,SEC,10,4,0,.714,7,1,0,.875,9.65,4.94,,8,25,8,19,Jim McElwain (10-4),Citrus Bowl (L),
12,2014,SEC,7,5,0,.583,4,4,0,.500,8.12,4.29,,,,,,"Will Muschamp (6-5), D.J. Durkin (1-0)",Birmingham Bowl (W),
13,2013,SEC,4,8,0,.333,3,5,0,.375,4.67,7.17,10,10,,,,Will Muschamp (4-8),,
14,2012,SEC,11,2,0,.846,7,1,0,.875,17.35,6.82,23,3,9,,,Will Muschamp (11-2),Sugar Bowl (L),
15,2011,SEC,7,6,0,.538,3,5,0,.375,6.00,3.61,22,12,,,,Will Muschamp (7-6),Gator Bowl (W),
16,2010,SEC,8,5,0,.615,4,4,0,.500,9.30,4.07,4,4,,,,Urban Meyer (8-5),Outback Bowl (W),
17,2009,SEC,13,1,0,.929,8,0,0,1.000,21.15,5.43,1,1,3,,,Urban Meyer (13-1),Sugar Bowl (W),
18,2008,SEC,13,1,0,.929,7,1,0,.875,25.37,5.59,5,1,1,,,Urban Meyer (13-1),BCS Championship (W),"National Championships: AP, BCS, FWAA, NFF, USA"
19,2007,SEC,9,4,0,.692,5,3,0,.625,18.06,6.83,6,3,13,,,Urban Meyer (9-4),Capital One Bowl (L),
20,2006,SEC,13,1,0,.929,7,1,0,.875,19.66,6.95,7,1,1,,,Urban Meyer (13-1),BCS Championship (W),"National Championships: AP, BCS, FWAA, NFF, USA"
21,2005,SEC,9,3,0,.750,5,3,0,.625,12.32,3.82,10,5,12,,,Urban Meyer (9-3),Outback Bowl (W),
22,2004,SEC,7,5,0,.583,4,4,0,.500,9.58,2.67,11,11,,,,"Ron Zook (7-4), Charlie Strong (0-1)",Peach Bowl (L),
23,2003,SEC,8,5,0,.615,6,2,0,.750,10.67,6.75,,11,24,,,Ron Zook (8-5),Outback Bowl (L),
24,2002,SEC,8,5,0,.615,6,2,0,.750,8.58,5.97,6,6,,,,Ron Zook (8-5),Outback Bowl (L),
25,2001,SEC,10,2,0,.833,6,2,0,.750,23.38,5.38,1,1,3,,,Steve Spurrier (10-2),Orange Bowl (W),
26,2000,SEC,10,3,0,.769,7,1,0,.875,17.61,6.23,9,3,10,,,Steve Spurrier (10-3),Sugar Bowl (L),
27,1999,SEC,9,4,0,.692,7,1,0,.875,15.55,6.86,5,3,12,,,Steve Spurrier (9-4),Citrus Bowl (L),
28,1998,SEC,10,2,0,.833,7,1,0,.875,17.02,2.52,3,2,5,,,Steve Spurrier (10-2),Orange Bowl (W),
29,1997,SEC,10,2,0,.833,6,2,0,.750,21.07,8.90,2,1,4,,,Steve Spurrier (10-2),Citrus Bowl (W),
30,1996,SEC,12,1,0,.923,8,0,0,1.000,23.60,5.30,4,1,1,,,Steve Spurrier (12-1),Sugar Bowl (W),"National Championships: AP, FWAA, NFF, USA-CNN"
31,1995,SEC,12,1,0,.923,8,0,0,1.000,22.59,5.20,5,2,2,,,Steve Spurrier (12-1),Fiesta Bowl (L),
32,1994,SEC,10,2,1,.808,7,1,0,.875,21.79,6.25,1,1,7,,,Steve Spurrier (10-2-1),Sugar Bowl (L),
33,1993,SEC,11,2,0,.846,7,1,0,.875,17.53,5.07,9,4,5,,,Steve Spurrier (11-2),Sugar Bowl (W),
34,1992,SEC,9,4,0,.692,6,2,0,.750,9.18,6.02,4,4,10,,,Steve Spurrier (9-4),Gator Bowl (W),
35,1991,SEC,10,2,0,.833,7,0,0,1.000,19.24,5.91,5,3,7,,,Steve Spurrier (10-2),Sugar Bowl (L),
36,1990,SEC,9,2,0,.818,6,1,0,.857,13.95,0.40,,5,13,,,Steve Spurrier (9-2),,
37,1989,SEC,7,5,0,.583,4,3,0,.571,9.24,3.90,,19,,,,"Galen Hall (4-1), Gary Darnell (3-4)",Freedom Bowl (L),
38,1988,SEC,7,5,0,.583,4,3,0,.571,3.44,1.86,,14,,,,Galen Hall (7-5),All-American Bowl (W),
39,1987,SEC,6,6,0,.500,3,3,0,.500,11.14,8.64,20,10,,,,Galen Hall (6-6),Aloha Bowl (L),
40,1986,SEC,6,5,0,.545,2,4,0,.333,9.37,5.83,13,13,,,,Galen Hall (6-5),,
41,1985,SEC,9,1,1,.864,5,1,0,.833,17.16,7.07,5,1,5,,,Galen Hall (9-1-1),,
42,1984,SEC,9,1,1,.864,5,0,1,.917,19.72,6.72,17,3,3,,,"Charley Pell (1-1-1), Galen Hall (8-0)",,
43,1983,SEC,9,2,1,.792,4,2,0,.667,20.48,9.73,,5,6,,,Charley Pell (9-2-1),Gator Bowl (W),
44,1982,SEC,8,4,0,.667,3,3,0,.500,12.55,8.22,16,4,,,,Charley Pell (8-4),Bluebonnet Bowl (L),
45,1981,SEC,7,5,0,.583,3,3,0,.500,12.90,6.82,17,17,,,,Charley Pell (7-5),Peach Bowl (L),
46,1980,SEC,8,4,0,.667,4,2,0,.667,13.72,8.89,,18,,,,Charley Pell (8-4),Tangerine Bowl (W),
47,1979,SEC,0,10,1,.045,0,6,0,.000,-3.91,9.18,,,,,,Charley Pell (0-10-1),,
48,1978,SEC,4,7,0,.364,3,3,0,.500,10.49,9.85,,,,,,Doug Dickey (4-7),,
49,1977,SEC,6,4,1,.591,3,3,0,.500,8.06,7.51,17,9,,,,Doug Dickey (6-4-1),,
50,1976,SEC,8,4,0,.667,4,2,0,.667,12.61,10.19,18,10,,,,Doug Dickey (8-4),Sun Bowl (L),
51,1975,SEC,9,3,0,.750,5,1,0,.833,16.59,4.75,15,11,,,,Doug Dickey (9-3),Gator Bowl (L),
52,1974,SEC,8,4,0,.667,3,3,0,.500,15.51,10.76,,6,15,,,Doug Dickey (8-4),Sugar Bowl (L),
53,1973,SEC,7,5,0,.583,3,4,0,.429,7.50,8.25,15,14,,,,Doug Dickey (7-5),Tangerine Bowl (L),
54,1972,SEC,5,5,1,.500,3,3,1,.500,16.86,12.77,,,,,,Doug Dickey (5-5-1),,
55,1971,SEC,4,7,0,.364,1,6,0,.143,4.13,10.31,,,,,,Doug Dickey (4-7),,
56,1970,SEC,7,4,0,.636,3,3,0,.500,5.77,5.22,15,13,,,,Doug Dickey (7-4),,
57,1969,SEC,9,1,1,.864,3,1,1,.700,19.02,7.29,,7,14,,,Ray Graves (9-1-1),Gator Bowl (W),
58,1968,SEC,6,3,1,.650,2,2,1,.500,7.28,5.68,7,4,,,,Ray Graves (6-3-1),,
59,1967,SEC,6,4,0,.600,4,2,0,.667,11.33,7.33,,,,,,Ray Graves (6-4),,
60,1966,SEC,9,2,0,.818,4,1,0,.800,17.16,6.98,,7,,,,Ray Graves (9-2),Orange Bowl (W),
61,1965,SEC,7,4,0,.636,4,2,0,.667,16.86,10.68,,7,,,,Ray Graves (7-4),Sugar Bowl (L),
62,1964,SEC,7,3,0,.700,4,2,0,.667,16.15,8.65,,9,,,,Ray Graves (7-3),,
63,1963,SEC,6,3,1,.650,3,3,1,.500,9.78,8.38,,,,,,Ray Graves (6-3-1),,
64,1962,SEC,7,4,0,.636,4,2,0,.667,13.22,8.32,,,,,,Ray Graves (7-4),Gator Bowl (W),
65,1961,SEC,4,5,1,.450,3,3,0,.500,2.95,7.55,,,,,,Ray Graves (4-5-1),,
66,1960,SEC,9,2,0,.818,5,1,0,.833,15.33,7.42,,18,18,,,Ray Graves (9-2),Gator Bowl (W),
67,1959,SEC,5,4,1,.550,2,4,0,.333,8.63,4.63,,17,19,,,Bob Woodruff (5-4-1),,
68,1958,SEC,6,4,1,.591,2,3,1,.417,10.30,5.66,,12,14,,,Bob Woodruff (6-4-1),Gator Bowl (L),
69,1957,SEC,6,2,1,.722,4,2,1,.643,13.46,6.79,,17,17,,,Bob Woodruff (6-2-1),,
70,1956,SEC,6,3,1,.650,5,2,0,.714,14.57,8.77,,12,,,,Bob Woodruff (6-3-1),,
71,1955,SEC,4,6,0,.400,3,5,0,.375,6.30,8.70,,19,,,,Bob Woodruff (4-6),,
72,1954,SEC,5,5,0,.500,5,2,0,.714,7.00,8.20,,14,,,,Bob Woodruff (5-5),,
73,1953,SEC,3,5,2,.400,1,3,2,.333,4.57,2.67,15,15,,,,Bob Woodruff (3-5-2),,
74,1952,SEC,8,3,0,.727,3,3,0,.500,14.52,2.43,,15,15,,,Bob Woodruff (8-3),Gator Bowl (W),
75,1951,SEC,5,5,0,.500,2,4,0,.333,7.17,4.67,,,,,,Bob Woodruff (5-5),,
76,1950,SEC,5,5,0,.500,2,4,0,.333,-0.92,0.08,,17,,,,Bob Woodruff (5-5),,
77,1949,SEC,4,5,1,.450,1,4,1,.250,-2.18,0.52,,,,,,Raymond Wolf (4-5-1),,
78,1948,SEC,5,5,0,.500,1,5,0,.167,3.18,2.08,,,,,,Raymond Wolf (5-5),,
79,1947,SEC,4,5,1,.450,0,3,1,.125,-1.96,-0.46,,,,,,Raymond Wolf (4-5-1),,
80,1946,SEC,0,9,0,.000,0,5,0,.000,-4.97,10.92,,,,,,Raymond Wolf (0-9),,
81,1945,SEC,4,5,1,.450,1,3,1,.300,-2.94,-4.54,,,,,,Tom Lieb (4-5-1),,
82,1944,SEC,4,3,0,.571,0,3,0,.000,-6.31,-4.02,,,,,,Tom Lieb (4-3),,
83,1942,SEC,3,7,0,.300,1,3,0,.250,-0.24,4.56,,,,,,Tom Lieb (3-7),,
84,1941,SEC,4,6,0,.400,1,3,0,.250,2.38,0.58,,,,,,Tom Lieb (4-6),,
85,1940,SEC,5,5,0,.500,2,3,0,.400,1.76,3.06,,,,,,Tom Lieb (5-5),,
86,1939,SEC,5,5,1,.500,0,3,1,.125,1.29,0.57,,,,,,Josh Cody (5-5-1),,
87,1938,SEC,4,6,1,.409,2,2,1,.500,-7.08,-3.99,,,,,,Josh Cody (4-6-1),,
88,1937,SEC,4,7,0,.364,3,4,0,.429,2.85,4.66,,,,,,Josh Cody (4-7),,
89,1936,SEC,4,6,0,.400,1,5,0,.167,-2.16,0.54,,,,,,Josh Cody (4-6),,
90,1935,SEC,3,7,0,.300,1,6,0,.143,-1.22,2.98,,,,,,Dutch Stanley (3-7),,
91,1934,SEC,6,3,1,.650,2,2,1,.500,-0.23,-1.13,,,,,,Dutch Stanley (6-3-1),,
92,1933,SEC,5,3,1,.611,2,3,0,.400,6.92,1.36,,,,,,Dutch Stanley (5-3-1),,
93,1932,Southern,3,6,0,.333,1,6,0,.143,-0.63,2.82,,,,,,Charlie Bachman (3-6),,
94,1931,Southern,2,6,2,.300,2,4,2,.375,-2.27,5.84,,,,,,Charlie Bachman (2-6-2),,
95,1930,Southern,6,3,1,.650,4,2,1,.643,10.24,1.44,,,,,,Charlie Bachman (6-3-1),,
96,1929,Southern,8,2,0,.800,6,1,0,.857,9.46,0.76,,,,,,Charlie Bachman (8-2),,
97,1928,Southern,8,1,0,.889,6,1,0,.857,16.35,-1.54,,,,,,Charlie Bachman (8-1),,
98,1927,Southern,7,3,0,.700,5,2,0,.714,6.43,-0.77,,,,,,Tom Sebring (7-3),,
99,1926,Southern,2,6,2,.300,1,4,1,.250,-5.82,-2.32,,,,,,Tom Sebring (2-6-2),,
100,1925,Southern,8,2,0,.800,3,2,0,.600,10.60,0.90,,,,,,Tom Sebring (8-2),,
101,1924,Southern,6,2,2,.700,2,0,1,.833,13.09,3.19,,,,,,J.A. Van Fleet (6-2-2),,
102,1923,Southern,6,1,2,.778,1,0,2,.667,8.39,-0.83,,,,,,J.A. Van Fleet (6-1-2),,
103,1922,Southern,7,2,0,.778,2,0,0,1.000,9.76,-2.13,,,,,,William Kline (7-2),,
104,1921,Ind,6,3,2,.636,,,,,4.66,-0.07,,,,,,William Kline (6-3-2),,
105,1920,Ind,5,3,0,.625,,,,,-0.09,-5.59,,,,,,William Kline (5-3),,
106,1919,Ind,5,3,0,.625,,,,,1.62,-5.50,,,,,,Al Buser (5-3),,
107,1917,Ind,2,4,0,.333,,,,,-10.27,2.39,,,,,,Al Buser (2-4),,
108,1916,Ind,0,5,0,.000,,,,,-12.66,5.74,,,,,,C.J. McCoy (0-5),,
109,1915,Ind,4,3,0,.571,,,,,5.57,2.14,,,,,,C.J. McCoy (4-3),,
110,1914,Ind,5,2,0,.714,,,,,2.29,-4.71,,,,,,C.J. McCoy (5-2),,
111,1913,Ind,4,3,0,.571,,,,,7.00,2.43,,,,,,G.E. Pyle (4-3),,
112,1912,Ind,5,2,1,.688,,,,,7.38,-1.87,,,,,,G.E. Pyle (5-2-1),,
113,1911,Ind,5,0,1,.917,,,,,4.76,-7.41,,,,,,G.E. Pyle (5-0-1),,
