season,overall,sec,national,sec season,sec tournament
1972-73,5-3,-,-,-,-
1973-74,8-2,-,14th AIAW,-,-
1974-75,6-3,-,7th AIAW,-,-
1975-76,5-5,-,11th AIAW,-,-
1976-77,16-2,-,5th AIAW,-,-
1977-78,12-3,-,4th AIAW,-,-
1978-79,9-4,-,6th AIAW,-,-
1979-80,15-3,2-0,2nd AIAW,1st,-
1980-81,11-17,2-0,4th AIAW,1st,-
1981-82,22-7,6-0,T-10th NCAA,1st,1st
1982-83,23-9,10-2,T-12th NCAA,2nd,2nd
1983-84,26-5,9-0,T-7th NCAA,1st,-
1984-85,21-6,9-0,T-7th NCAA,1st,-
1985-86,17-7,9-0,-,1st,-
1986-87,29-1,9-0,T-3rd NCAA,1st,-
1987-88,29-2,9-0,2nd NCAA,1st,-
1988-89,26-3,9-0,T-3rd NCAA,1st,-
1989-90,32-3,11-1,2nd NCAA,1st,1st
1990-91,31-1,12-0,T-3rd NCAA,1st,1st
1991-92,30-0,14-0,NCAA Champions,1st,1st
1992-93,26-2,14-0,T-3rd NCAA,1st,1st
1993-94,23-6,12-2,T-5th NCAA,2nd,2nd
1994-95,27-3,14-0,2nd NCAA,1st,1st
1995-96,31-0,14-0,NCAA Champions,1st,1st
1996-97,31-1,14-0,2nd NCAA,1st,1st
1997-98,27-0,14-0,NCAA Champions,1st,1st
1998-99,31-2,13-1,2nd NCAA,1st,2nd
1999â€“2000,25-3,10-1,T-3rd NCAA,2nd,1st
2000-01,24-3,11-0,T-3rd NCAA,1st,t-3rd
2001-02,24-2,10-1,2nd NCAA,2nd,1st
2002-03,31-2,10-1,NCAA Champions,1st,1st
2003-04,23-1,11-0,T-32nd NCAA,1st,1st
2004-05,22-3,9-2,T-3rd NCAA,t-2nd,1st
2005-06,25-2,11-0,T-3rd NCAA,1st,1st
2006-07,24-3,10-1,T-5th NCAA,1st,2nd
2007-08,24-3,11-0,T-3rd NCAA,1st,2nd
2008-09,16-10,7-4,-,4th,-
2009-10,29-3,11-0,2nd NCAA,1st,1st
2010-11,31-1,11-0,NCAA Champions,1st,1st
2011-12,27-1,11-0,NCAA Champions,1st,1st
